------------------------------------------------------------------------------------------------------------
Author: Bianca Maria S. de Oliveira & Gustavo Linhares Teixeira. Date(DD/MM/YYYY): 1/8/2024
------------------------------------------------------------------------------------------------------------
Data for the quark-gluon vertex form factor Lambdai with i=1,...,8, in the form of arrays Lambdai(nx,nx,nth)
with: nx=30 and nth=10. The renormalization point is mu^2=  4.00 GeV^2 and alpha= 0.547.
The independent momenta were chosen to be the anti-quark, p1, and the quark, p2, given in GeV.
The gauge group is SU(3).
Total execution time:     874.78 minutes.
------------------------------------------------------------------------------------------------------------
    log10(p1^2)              log10(p2^2)       	       theta                    Lambda1(p1^2,p2^2,theta) Lambda2(p1^2,p2^2,theta) Lambda3(p1^2,p2^2,theta) Lambda4(p1^2,p2^2,theta) Lambda5(p1^2,p2^2,theta) Lambda6(p1^2,p2^2,theta) Lambda7(p1^2,p2^2,theta) Lambda8(p1^2,p2^2,theta)
    -3.00000000000000E+00    -3.00000000000000E+00     1.00000000000000E-02     2.13929162248108E+00    -3.90483204080259E-01     3.67143288885372E-10    -4.35777221746222E-01     3.52348206261149E-02    -8.43721521505091E-02     7.04766412286784E-02     3.18505673385347E-01
    -3.00000000000000E+00    -2.79310344827586E+00     1.00000000000000E-02     2.13887547016959E+00    -3.90152281397524E-01    -1.50073650430831E-04    -4.35726072122946E-01     3.53301165380913E-02    -8.39860638844735E-02     7.09966560916569E-02     3.18189930100844E-01
    -3.00000000000000E+00    -2.58620689655172E+00     1.00000000000000E-02     2.13851171295854E+00    -3.89634687929397E-01    -3.90877087364988E-04    -4.35656682794809E-01     3.60490637760194E-02    -8.37182967684953E-02     7.20218665328616E-02     3.17478963786883E-01
    -3.00000000000000E+00    -2.37931034482759E+00     1.00000000000000E-02     2.13829691965547E+00    -3.88834625206230E-01    -7.76634175089607E-04    -4.35507233323657E-01     3.73953117445467E-02    -8.32005852260522E-02     7.38308523518725E-02     3.16373544218159E-01
    -3.00000000000000E+00    -2.17241379310345E+00     1.00000000000000E-02     2.13838064088262E+00    -3.87565141104536E-01    -1.39174588976019E-03    -4.35368867984783E-01     3.94587343763603E-02    -8.23919485238349E-02     7.70414862444275E-02     3.14437930725699E-01
    -3.00000000000000E+00    -1.96551724137931E+00     1.00000000000000E-02     2.13915287542340E+00    -3.85649420639389E-01    -2.36887419927050E-03    -4.35176647910748E-01     4.34642476760188E-02    -8.10473571479416E-02     8.22961559670999E-02     3.11382303625365E-01
    -3.00000000000000E+00    -1.75862068965517E+00     1.00000000000000E-02     2.14108836202605E+00    -3.82563862681735E-01    -3.90511291907455E-03    -4.34756664524838E-01     4.96248007314082E-02    -7.86789165401043E-02     9.08652396876461E-02     3.06370573444658E-01
    -3.00000000000000E+00    -1.55172413793103E+00     1.00000000000000E-02     2.14489747623871E+00    -3.77735174062502E-01    -6.28679671048268E-03    -4.33850361788606E-01     5.82624426280631E-02    -7.53387111142843E-02     1.04305396402152E-01     2.98385298401103E-01
    -3.00000000000000E+00    -1.34482758620690E+00     1.00000000000000E-02     2.15090339327792E+00    -3.70124621602984E-01    -9.88655533883122E-03    -4.31850641097453E-01     7.19440542445966E-02    -6.93181909590713E-02     1.24526580108754E-01     2.85903555017285E-01
    -3.00000000000000E+00    -1.13793103448276E+00     1.00000000000000E-02     2.16211345170337E+00    -3.58189743309074E-01    -1.51135633234837E-02    -4.27501935036682E-01     9.11461401562974E-02    -6.05534360795446E-02     1.53182052928051E-01     2.66970473240965E-01
    -3.00000000000000E+00    -9.31034482758621E-01     1.00000000000000E-02     2.17688885921025E+00    -3.39793171401544E-01    -2.22105560488548E-02    -4.18433633890422E-01     1.15402098324303E-01    -4.89101236756913E-02     1.90732680428327E-01     2.39666656260722E-01
    -3.00000000000000E+00    -7.24137931034483E-01     1.00000000000000E-02     2.19355956571512E+00    -3.12367078839252E-01    -3.08160714755548E-02    -4.00748532260575E-01     1.45186259866279E-01    -3.20153386912565E-02     2.34122254488756E-01     2.02827267221656E-01
    -3.00000000000000E+00    -5.17241379310345E-01     1.00000000000000E-02     2.20410221758034E+00    -2.73956227440087E-01    -3.93272047994834E-02    -3.69448268339221E-01     1.73236067168206E-01    -1.24492461644343E-02     2.75051030052276E-01     1.57666655846761E-01
    -3.00000000000000E+00    -3.10344827586207E-01     1.00000000000000E-02     2.19183887420141E+00    -2.25032624075756E-01    -4.46394963857169E-02    -3.20584871434469E-01     1.91001956996828E-01     7.56096700458286E-03     2.99828448336526E-01     1.09110889572945E-01
    -3.00000000000000E+00    -1.03448275862069E-01     1.00000000000000E-02     2.13327064517376E+00    -1.69949109276569E-01    -4.34612761513400E-02    -2.54894760014488E-01     1.87488038002158E-01     2.19486445597568E-02     2.93434214364058E-01     6.52184079604218E-02
    -3.00000000000000E+00     1.03448275862069E-01     1.00000000000000E-02     2.01036805238855E+00    -1.16318090731977E-01    -3.54015475032746E-02    -1.80844468539937E-01     1.62231103230653E-01     2.94993996050152E-02     2.49801918514683E-01     3.31891988185444E-02
    -3.00000000000000E+00     3.10344827586207E-01     1.00000000000000E-02     1.82685140906405E+00    -7.18638902026693E-02    -2.43134332533140E-02    -1.13333708589968E-01     1.18690448814938E-01     2.61059700681948E-02     1.81719591691220E-01     1.47174890718134E-02
    -3.00000000000000E+00     5.17241379310345E-01     1.00000000000000E-02     1.61360918204168E+00    -4.07173743087169E-02    -1.47589683357373E-02    -6.40934090056107E-02     7.55500041179218E-02     1.90398529591137E-02     1.14346792626750E-01     6.07868982365839E-03
